transaction_date,transaction_year,ticker,asset_description,type,amount_low,amount_high,amount_avg,representative,district,state,cap_gains_over_200_usd,industry,sector,party,ticker_price,qqq_price
9/26/22,2022,ADP,Automatic Data Processing INC,purchase,1001,15000,8001,Josh Gottheimer,NJ05,NJ,FALSE,EDP Services,Technology,Democrat,66.3,274.369995
9/22/22,2022,CRM,Salesforce Inc,purchase,1001,15000,8001,Alan S. Lowenthal,CA47,CA,FALSE,Computer Software: Prepackaged Software,Technology,Democrat,150.15,280.070007
9/16/22,2022,GOOG,Alphabet Inc - Class C capital stock. Excercised 200 call options purchased 12/17/21 (20k shares) at $100 strike with expiry of 9/16/22,purchase,1000001,5000000,3000001,Nancy Pelosi,CA12,CA,FALSE,"Computer Software: Programming, Data Processing",Technology,Democrat,103.63,289.320007
9/13/22,2022,CSCO,Cisco Systems Inc,purchase,15001,50000,32501,Scott Franklin,FL15,FL,FALSE,Computer Communications Equipment,Technology,Republican,44.11,293.700012
9/13/22,2022,CSCO,Cisco Systems Inc,purchase,1001,15000,8001,Scott Franklin,FL15,FL,FALSE,Computer Communications Equipment,Technology,Republican,44.11,293.700012
9/13/22,2022,MSFT,Microsoft Corporation,purchase,15001,50000,32501,Scott Franklin,FL15,FL,FALSE,Computer Software: Prepackaged Software,Technology,Republican,44.11,293.700012
9/12/22,2022,IBM,International Business Machines,purchase,1001,15000,8001,Lloyd Doggett,TX35,TX,FALSE,Computer Manufacturing,Technology,Democrat,130.66,310.73999
9/12/22,2022,ADI,Analog Devices Inc,purchase,1001,15000,8001,Lois Frankel,FL21,FL,FALSE,Semiconductors,Technology,Democrat,130.66,310.73999
9/6/22,2022,AAPL,Apple Inc,purchase,1001,15000,8001,Bob Gibbs,OH07,OH,FALSE,Computer Manufacturing,Technology,Republican,154.53,293.049988
9/6/22,2022,AAPL,Apple Inc,purchase,1001,15000,8001,Bob Gibbs,OH07,OH,FALSE,Computer Manufacturing,Technology,Republican,154.53,293.049988
8/26/22,2022,AAPL,Apple Inc,purchase,1001,15000,8001,Robert B. Aderholt,AL04,AL,FALSE,Computer Manufacturing,Technology,Republican,163.62,307.440002
8/25/22,2022,ASML,ASML Holding NV New York Registry Shares,purchase,50001,100000,75001,Kevin Hern,OK01,OK,FALSE,Industrial Machinery/Components,Technology,Republican,539.74,320.579987
8/25/22,2022,PTC,PTC INc,purchase,15001,50000,32501,Kevin Hern,OK01,OK,FALSE,Computer Software: Prepackaged Software,Technology,Republican,539.74,320.579987
8/18/22,2022,CDNS,Cadence Design Systems Inc,purchase,15001,50000,32501,Kevin Hern,OK01,OK,FALSE,Computer Software: Prepackaged Software,Technology,Republican,190.73,329.279999
8/17/22,2022,MSFT,Microsoft Corporation,purchase,100001,250000,175001,Josh Gottheimer,NJ05,NJ,FALSE,Computer Software: Prepackaged Software,Technology,Democrat,291.32,328.48999
8/17/22,2022,NTAP,NetApp Inc Stock,purchase,15001,50000,32501,Doug Lamborn,CO05,CO,FALSE,Electronic Components,Technology,Republican,291.32,328.48999
8/17/22,2022,NTAP,NetApp Inc Stock,purchase,1001,15000,8001,Doug Lamborn,CO05,CO,FALSE,Electronic Components,Technology,Republican,291.32,328.48999
8/17/22,2022,NTAP,NetApp Inc Stock,purchase,1001,15000,8001,Doug Lamborn,CO05,CO,FALSE,Electronic Components,Technology,Republican,291.32,328.48999
8/16/22,2022,TXN,Texas Instruments Inc,purchase,1001,15000,8001,Kevin Hern,OK01,OK,FALSE,Semiconductors,Technology,Republican,183.36,332.279999
8/12/22,2022,ADP,Automatic Data Processing Inc,purchase,1001,15000,8001,Josh Gottheimer,NJ05,NJ,FALSE,EDP Services,Technology,Democrat,256.78,330.390015
8/11/22,2022,TTWO,Take-2 Interactive,purchase,1001,15000,8001,Kurt Schrader,OR05,OR,FALSE,Computer Software: Prepackaged Software,Technology,Democrat,120.67,324.079987
8/11/22,2022,MSFT,Microsoft Corporation - CALL @ $145 expiry 1/20/23,purchase,250001,500000,375001,Josh Gottheimer,NJ05,NJ,FALSE,Computer Software: Prepackaged Software,Technology,Democrat,120.67,324.079987
8/11/22,2022,MSFT,Microsoft Corporation - CALL @ $150 expiry 1/20/23,purchase,1000001,5000000,3000001,Josh Gottheimer,NJ05,NJ,FALSE,Computer Software: Prepackaged Software,Technology,Democrat,120.67,324.079987
8/11/22,2022,MSFT,Microsoft Corporation - CALL @ $150 expiry 1/20/23,purchase,1000001,5000000,3000001,Josh Gottheimer,NJ05,NJ,FALSE,Computer Software: Prepackaged Software,Technology,Democrat,120.67,324.079987
8/11/22,2022,MSFT,Microsoft Corporation - CALL @ $150 expiry 1/20/23,purchase,1000001,5000000,3000001,Josh Gottheimer,NJ05,NJ,FALSE,Computer Software: Prepackaged Software,Technology,Democrat,120.67,324.079987
8/11/22,2022,MSFT,Microsoft Corporation - CALL @ $155 expiry 1/20/23,purchase,250001,500000,375001,Josh Gottheimer,NJ05,NJ,FALSE,Computer Software: Prepackaged Software,Technology,Democrat,120.67,324.079987
8/11/22,2022,MSFT,Microsoft Corporation - CALL @ $160 expiry 1/20/23,purchase,250001,500000,375001,Josh Gottheimer,NJ05,NJ,FALSE,Computer Software: Prepackaged Software,Technology,Democrat,120.67,324.079987
8/11/22,2022,MSFT,Microsoft Corporation - CALL @ $150 expiry 6/16/23,purchase,1000001,5000000,3000001,Josh Gottheimer,NJ05,NJ,FALSE,Computer Software: Prepackaged Software,Technology,Democrat,120.67,324.079987
8/11/22,2022,MSFT,Microsoft Corporation - CALL @ $155 expiry 6/16/23,purchase,1000001,5000000,3000001,Josh Gottheimer,NJ05,NJ,FALSE,Computer Software: Prepackaged Software,Technology,Democrat,120.67,324.079987
8/10/22,2022,GOOG,Alphabet Inc -  Class C Capital Stock,purchase,1001,15000,8001,Robert J. Wittman,VA01,VA,FALSE,"Computer Software: Programming, Data Processing",Technology,Republican,120.65,325.929993
8/10/22,2022,MSFT,Microsoft Corporation,purchase,1001,15000,8001,Robert J. Wittman,VA01,VA,FALSE,Computer Software: Prepackaged Software,Technology,Republican,120.65,325.929993
8/9/22,2022,MSI,Motorola Solutions Inc,purchase,1001,15000,8001,Kurt Schrader,OR05,OR,FALSE,Radio And Television Broadcasting And Communications Equipment,Technology,Democrat,249.25,317.079987
8/9/22,2022,SQ,Block Inc Class A Common Stock,purchase,50001,100000,75001,James R. Langevin,RI02,RI,FALSE,Computer Software: Prepackaged Software,Technology,Democrat,249.25,317.079987
8/8/22,2022,ATVI,Activision Blizzard Inc,purchase,1001,15000,8001,Seth Moulton,MA06,MA,FALSE,Computer Software: Prepackaged Software,Technology,Democrat,81,320.709991
8/4/22,2022,NTAP,NetApp Inc Stock,purchase,15001,50000,32501,Doug Lamborn,CO05,CO,FALSE,Electronic Components,Technology,Republican,72.11,324.399994
8/4/22,2022,NTAP,NetApp Inc Stock,purchase,1001,15000,8001,Doug Lamborn,CO05,CO,FALSE,Electronic Components,Technology,Republican,72.11,324.399994
8/4/22,2022,NTAP,NetApp Inc Stock,purchase,1001,15000,8001,Doug Lamborn,CO05,CO,FALSE,Electronic Components,Technology,Republican,72.11,324.399994
8/1/22,2022,MSI,Motorola Solutions Inc,purchase,1001,15000,8001,Kurt Schrader,OR05,OR,FALSE,Radio And Television Broadcasting And Communications Equipment,Technology,Democrat,236.63,315.269989
7/26/22,2022,TTWO,Take-2 Interactive,purchase,1001,15000,8001,Kurt Schrader,OR05,OR,FALSE,Computer Software: Prepackaged Software,Technology,Democrat,131.1,294.369995
7/21/22,2022,CRM,Salesforce In,purchase,1001,15000,8001,Josh Gottheimer,NJ05,NJ,FALSE,Computer Software: Prepackaged Software,Technology,Democrat,185.35,307.380005
7/19/22,2022,NTAP,NetApp Inc Stock,purchase,15001,50000,32501,Doug Lamborn,CO05,CO,FALSE,Electronic Components,Technology,Republican,68.31,298.299988
7/19/22,2022,NTAP,NetApp Inc Stock,purchase,1001,15000,8001,Doug Lamborn,CO05,CO,FALSE,Electronic Components,Technology,Republican,68.31,298.299988
7/19/22,2022,NTAP,NetApp Inc Stock,purchase,1001,15000,8001,Doug Lamborn,CO05,CO,FALSE,Electronic Components,Technology,Republican,68.31,298.299988
7/19/22,2022,NTAP,NetApp Inc Stock,purchase,1001,15000,8001,Doug Lamborn,CO05,CO,FALSE,Electronic Components,Technology,Republican,68.31,298.299988
7/19/22,2022,IBM,International Business Machines Corporation,purchase,1001,15000,8001,Josh Gottheimer,NJ05,NJ,FALSE,Computer Manufacturing,Technology,Democrat,68.31,298.299988
7/15/22,2022,AAPL,Apple Inc,purchase,1001,15000,8001,Josh Gottheimer,NJ05,NJ,FALSE,Computer Manufacturing,Technology,Democrat,150.17,291.869995
7/15/22,2022,INTU,Intuit Inc,purchase,1001,15000,8001,Josh Gottheimer,NJ05,NJ,FALSE,Computer Software: Prepackaged Software,Technology,Democrat,150.17,291.869995
7/15/22,2022,MSFT,Microsoft Corporation,purchase,1001,15000,8001,Josh Gottheimer,NJ05,NJ,FALSE,Computer Software: Prepackaged Software,Technology,Democrat,150.17,291.869995
7/15/22,2022,ORCL,Oracle Corporation,purchase,1001,15000,8001,Josh Gottheimer,NJ05,NJ,FALSE,Computer Software: Prepackaged Software,Technology,Democrat,150.17,291.869995
